Signum,Crosses,Plats,Socken,Härad,Kommun,Classif,Ristare,Materialtyp,Bildlänk,Lat,Long
G 343  ,0,S:t Hans kyrkoruin,Visby,,Gotland,Pr4,,sten,http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G343&showthumbnails=true,57.637936,18.297982
G 344 M ,0,S:t Pers kyrkoruin,Visby,,Gotland,NA,,sten,,57.637936,18.297982
G 349 †M ,0,S:ta Maria kyrka,Visby,,Gotland,NA,,sten,,57.637936,18.297982
G 351 M ,0,nära S:t Hans kyrkoruin,Visby,,Gotland,NA,,sten,,57.637936,18.297982
G 364 M ,0,Havdhems kyrka,Havdhems sn,Grötlinge ting,Gotland,NA,,sten,,57.160015,18.333624
G 367 M ,0,Eke kyrka,Eke sn,Hemse ting,Gotland,NA,,sten,,57.160431,18.335357
G 368  ,0,Gudings gård,Alva sn,Hemse ting,Gotland,NA,,sten,,57.209382,18.36099
G 370 $ ,0,Hablingbo kyrka,Hablingbo sn,Hablinge ting,Gotland,Pr3,,sten,,57.187587,18.262413
G 373  ,0,Sproge kyrka,Sproge sn,Hablinge ting,Gotland,Pr1,,sten,,57.253722,18.210525
G 373  ,0,Sproge kyrka,Sproge sn,Hablinge ting,Gotland,Pr2,,sten,,57.253722,18.210525
G 375 M ,0,Levide kyrka,Levide sn,Fardhems ting,Gotland,NA,,sten,,57.290365,18.275887
G 378 M ,0,Burs kyrka,Burs sn,Burs ting,Gotland,NA,,sten,,57.245103,18.509212
G 379 SENTIDA ,0,Närs kyrka,Närs sn,Burs ting,Gotland,NA,,sten,,57.719713,18.789153
G 381 M ,0,Närs kyrka,Närs sn,Burs ting,Gotland,NA,,sten,,57.719713,18.789153
G 383 M ,0,Lau kyrka,Lau sn,Burs ting,Gotland,NA,,sten,http://www.kms.raa.se/cocoon/bild/object_list_simple?query=G383&showthumbnails=true,57.282429,18.618442
G ATA351-3693-2013  ,0,Stenkyrka kyrka,Stenkyrka sn,Lummelunda ting,Gotland,NA,,sten,,57.792448,18.531638
