ID,Cross,Place,Socken,Härad,Kommun,Classification,Latitude,Long,Longitude,Lat
Sö Fv1958;247B  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.94603,6648692,17.52963,1596352
Sö Fv1958;247C  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,Pr5,59.94603,6648685,17.52963,1596376
Sö Fv1958;247D  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.94603,6648685,17.52963,1596376
Sö Fv1959;262 $ ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.94603,6648685,17.52963,1596376
Sö Fv1969;298  ,1,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.94603,6648685,17.52963,1596376
Sö Fv1971;207  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,?,59.94603,6648673,17.52963,1596312
Sö Fv1971;208  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,?,59.94603,6648685,17.52963,1596376
Sö Fv1973;187  ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,,59.94603,6648692,17.52963,1596352
Sö Fv1973;188A  ,0,Forkarby,Bälinge sn,Bälinge hd,Uppsala,Pr4 - Pr5,59.92807,6646710,17.5614,1598028
Sö Fv1973;188B  ,0,Forkarby,Bälinge sn,Bälinge hd,Uppsala,Pr5?,59.92807,6646700,17.5614,1598030
Sö Fv1973;189  ,1,"Forkarby, Korsbacken",Bälinge sn,Bälinge hd,Uppsala,Pr5?,59.92778,6647322,17.56192,1597665
Sö Fv1979;239  ,0,Forkarby,Bälinge sn,Bälinge hd,Uppsala,?,59.92807,6647340,17.5614,1597670
Sö Fv1979;240 $ ,1,Gysta,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.96255,6650750,17.54477,1597200
Sö Fv1982;235  ,1,Hämringe,Bälinge sn,Bälinge hd,Uppsala,Pr5,59.94574,6648763,17.55411,1598324
Sö Fv1984;253  ,0,Högsta,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.94882,6651635,17.53322,1598361
Sö Fv1984;254  ,0,Högsta,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.94882,6651100,17.53322,1598550
Sö Fv1986;218 $ ,0,Lövsta,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.96201,6650600,17.57492,1598850
Sö Fv1986;220 $ ,0,Lövsta,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.96201,6650750,17.57492,1598800
Sö Fv1988;34 $ ,0,Marsta,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.62524,6647093,17.85157,1599603
Sö Fv1990;31  ,0,Marsta,Bälinge sn,Bälinge hd,Uppsala,Pr4 - Pr5?,59.62524,6647050,17.85157,1599700
Sö Fv1993;229  ,1,Målsta,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.94475,6647500,17.54083,1595800
Sö Fv1993;230  ,0,Nyvla,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.868316,6649850,17.572281,1595923
Sö Fv2011;307 U ,0,"Nyvla, Tingstukällan",Bälinge sn,Bälinge hd,Uppsala,Pr4,59.959147,6650154,17.529213,1596336
Sö NOR1997;26  ,0,Rosta bro,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.858564,6649140,17.638927,1600795
Sö NOR1998;22 $ ,0,Rörby,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.860962,6648050,17.716401,1597440
Sö NOR1998;23  ,0,Rörby,Bälinge sn,Bälinge hd,Uppsala,Pr5,59.860962,6648050,17.716401,1597440
Sö NOR2003;21  ,0,Sundbro,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.92692,6646400,17.53105,1596400
Sö NOR2003;22 $ ,0,Sundbro,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.92692,6646665,17.53105,1596250
Sö Sb1963;149  ,0,Sundbro,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.92692,6646675,17.53105,1596230
Sö Sb1965;12 $ ,0,Sundbro,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.92692,6646650,17.53105,1596339
Sö Sb1965;19  ,0,Sundbro,Bälinge sn,Bälinge hd,Uppsala,?,59.92692,6646600,17.53105,1596450
Sö Sb1965;20 $ ,0,Svista,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.93396,6647600,17.59822,1600100
Sö Sb1965;22  ,0,Svista,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.93396,6647600,17.59822,1600125
U 1  ,1,Tuna,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.95,6648261,17.466667,1593675
U 10 $ ,0,Åloppe,Bälinge sn,Bälinge hd,Uppsala,Pr4?,59.9525,6649300,17.50131,1594700
U 100  ,1,Äskelunda,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.9389,6647730,17.49339,1594475
U 1000 † ,0,Äskelunda,Bälinge sn,Bälinge hd,Uppsala,Pr4,59.9389,6647746,17.49339,1594467
U 1001 $ ,0,Skuttunge kyrka,Skuttunge sn,Bälinge hd,Uppsala,Pr4,59.99852,6654509,17.51457,1595399
U 1002  ,0,Skuttunge kyrka,Skuttunge sn,Bälinge hd,Uppsala,Pr4 - Pr5?,59.99852,6654516,17.51457,1595413
U 1003 $ ,0,Broddbo,Skuttunge sn,Bälinge hd,Uppsala,Pr4,59.98736,6656020,16.47794,1590471
U 1004  ,0,Eke,Skuttunge sn,Bälinge hd,Uppsala,Pr4,59.98267,6652922,17.51758,1596195
U 1005  ,0,Grävsta,Skuttunge sn,Bälinge hd,Uppsala,?,59.75168,6653500,17.53491,1596850
U 1006  ,1,Häggeby,Skuttunge sn,Bälinge hd,Uppsala,Pr4?,60.0264,6657340,17.53012,1596570
U 1007  ,1,Myrby,Skuttunge sn,Bälinge hd,Uppsala,?,60.08194,6656500,17.70196,1589500
U 1008 $ ,1,Norrby,Skuttunge sn,Bälinge hd,Uppsala,Pr3 - Pr4?,59.99047,6653400,17.50626,1596000
U 1009 $ ,0,Skuttunge by,Skuttunge sn,Bälinge hd,Uppsala,Pr4,59.99409,6654100,17.50148,1594725
U 101  ,0,Vigle,Skuttunge sn,Bälinge hd,Uppsala,Pr4,60.03623,6658631,17.52113,1596044
U 1010  ,0,Örke,Skuttunge sn,Bälinge hd,Uppsala,Pr4,60.00725,6655976,17.52955,1596327
U 1011  ,1,Örke,Skuttunge sn,Bälinge hd,Uppsala,Pr4,60.00725,6655500,17.52955,1596152
U 1012  ,1,Örke,Skuttunge sn,Bälinge hd,Uppsala,Pr4 - Pr5,60.00725,6655500,17.52955,1596152
U 1013 †$ ,0,Örke,Skuttunge sn,Bälinge hd,Uppsala,?,60.00725,6655246,17.52955,1595891
U 1014 $ ,1,Stavby kyrka,Stavby sn,Olands hd,Uppsala,Pr4,60.01021,6656538,17.96658,1620559
U 1015 $ ,0,Tu0 kyrka,Tu0 sn,Olands hd,Uppsala,Pr4?,59.85856,6657834,17.63893,1625972
U 1016 $ ,1,Tu0 kyrka,Tu0 sn,Olands hd,Uppsala,?,59.85856,6657796,17.63893,1626006
U 1017  ,1,Krogsta,Tu0 sn,Olands hd,Uppsala,,59.73485,6658977,18.01993,1626281
U 1102 † ,0,"Uppsala, Fyristorg",Uppsala,Uppsala,Uppsala,,59.85832,6639075,17.63619,1602600
U 1108 †$ ,0,Bälinge kyrka,Bälinge sn,Bälinge hd,Uppsala,,59.94603,6648685,17.52963,1596376
U 1138  ,0,"Uppsala, kv. St Per",Uppsala,Uppsala,Uppsala,?,59.85856,6639266,17.63893,1602711
U 1139 $ ,0,"Uppsala, kv. St Per",Uppsala,Uppsala,Uppsala,,59.85856,6639266,17.63893,1602711
U 1148 † ,0,"Uppsala, kv. Torget",Uppsala,Uppsala,Uppsala,Pr4?,59.93865,6639219,16.86229,1602602
U 1155  ,1,Uppsala domkyrka,Uppsala,,Uppsala,Pr4,59.85815,6639052,17.63363,1602466
U 1156 $ ,1,Uppsala domkyrka,Uppsala,,Uppsala,?,59.85815,6639052,17.63363,1602466
U 1157  ,1,"Uppsala, kv. Rådhuset 2-3",Uppsala,Uppsala,Uppsala,Pr5? [Källström i SRI 10 Dig. suppl.],59.85895,6639125,17.63928,1602675
U 1158  ,0,"Uppsala, kv. Torget",Uppsala,Uppsala,Uppsala,?,59.93865,6639246,16.86229,1602599
U 116 $ ,0,Åby,Björklinge sn,Norunda hd,Uppsala,,60.000945,6654977,17.54131,1596698
U 1161 $ ,0,Skolhuset,Balingsta sn,Hagunda hd,Uppsala,,58.39164,6628167,13.58024,1591098
U 1166 † ,0,Uppsala domkyrka,Uppsala,,Uppsala,Pr2?,59.85815,6639027,17.63363,1602516
U 1167  ,0,Uppsala domkyrka,Uppsala,,Uppsala,Pr4,59.85815,6639041,17.63363,1602527
U 1170  ,0,"Uppsala, kv. Torget",Uppsala,Uppsala,Uppsala,?,59.93865,6639225,16.86229,1602610
U 1179  ,0,Risberga,Östu0 sn,Långhundra hd,Uppsala,Pr4?,59.76178,6628357,17.93379,1619501
U 120 $ ,0,"Uppsala, sjukhuset",Uppsala,,Uppsala,Pr4?,59.84985,6638000,17.64027,1602800
U 122 † ,0,Ärnevi,Funbo sn,Rasbo hd,Uppsala,?,59.8566,6639155,17.82648,1613163
U 134 $ ,0,"Uppsala, kv. Bryggaren",Uppsala,Uppsala,Uppsala,,59.85856,6638875,17.63893,1602925
U 136 $ ,1,Gamla Uppsala kyrka,Gamla Uppsala sn (nu Uppsala),Vaksala hd,Uppsala,Pr5(?) [Fv 2012],59.8995,6643643,17.63191,1602252
U 137 $ ,1,Vaksala kyrka,Vaksala sn,Vaksala hd,Uppsala,,59.87601,6641117,17.68635,1605339
U 138 † ,0,Uppsala,Uppsala,,Uppsala,,59.85856,6639100,17.63893,1602500
U 14  ,1,Ulva kvarn,Gamla Uppsala sn (nu Uppsala),Vaksala hd,Uppsala,Pr3 - Pr4? [Gräslund muntligt],59.91338,6645027,17.57525,1599083
U 143  ,0,Tibble,Skogstibble sn (nu Skogs-Tibble),Hagunda hd,Uppsala,,59.99897,6635318,17.86228,1584765
